infile dictionary{
V1 V2 V3 V4 V5
17 0.005 0.114 2.022 3.597
11 0.033 0.026 0.374 0.856
22 0.001 0.112 0.755 3.506
2 0 0.092 0.246 0.379
22 0.006 0.253 2.329 3.69
22 0 0.382 0.951 2.386
8 0 0.094 0.323 1.484
10 0 0.397 0.9 1.807
20 0 0.029 0.749 2.667
28 0 0.435 0.771 2.188
34 0 0.232 0.901 2.519
16 0.038 0.158 1.158 1.942
19 0.001 0.346 2.702 4.292
17 0.227 0.5 0.025 1.551
8 0 0.066 0.382 0.866
13 0 0.178 0.644 1.744
15 0.023 0.204 0.827 1.74
15 0 0.118 0.195 1.113
22 0.063 0.07 1.078 3.066
26 0.118 0.278 0.314 1.85
12 0.018 0.22 0.551 2.216
12 0 0.204 0.817 1.588
11 0.036 0.256 0.146 1.647
17 0.001 0.284 0.687 1.907
7 0.001 0.02 1.505 2.284
14 0 0.036 1.179 2.749
30 0.081 0.401 1.343 3.338
18 0 0.045 0.986 1.85
10 0.018 0.17 1.007 1.907
15 0.027 0.558 1.153 2.181
10 0 0.042 1.501 2.617
11 0.003 0.043 0.547 1.156
8 0 0.028 0.878 3.801
10 0.003 0.068 0.913 1.687
13 0.259 0.056 1.54 2.555
26 0 0.045 0.66 3.054
16 0 0.131 0.775 1.776
9 0 0.08 0.591 1.045
23 0.007 0.751 0.808 1.982
10 0 0.111 1.315 2.612
56 0.04 0.611 2.407 5.494
58 0.309 0.196 0.796 3.658
25 0.019 0.362 0.486 2.149
7 0 0.097 0.723 1.411
6 0 0.045 0.357 0.881
18 0.008 0.152 1.272 2.764
4 0 0.021 0.149 0.337
14 0.021 0.104 0.821 1.745
29 0.018 0.049 0.277 1.613
9 0 0.041 0.483 0.786
8 0 0.077 0.077 0.917
16 0.003 0.547 0.813 1.98
4 0.001 0.084 1.025 1.288
11 0 0.085 0.681 1.33
7 0.13 0.096 0.707 1.567
12 0 0.25 0.795 1.455
7 0 0.022 0.49 0.931
9 0 0.128 0.571 1.203
9 0.012 0.298 0.565 1.25
7 0.006 0.085 0.428 0.992
10 0.047 0.237 0.286 1.1
8 0 0.128 0.406 1.165
4 0 0.064 0.372 0.979
11 0 0.039 0.341 1.595
9 0 0.258 0.26 1.561
2 0.008 0.011 0.007 0.542
6 0.016 0.032 0.605 1.168
14 0.036 0.189 0.306 1.031
6 0.129 0.056 0.453 0.817
8 0 0.131 1.508 2.187
20 0.008 0.038 0.273 1.303
8 0 0.018 0.308 0.781
11 0 0.199 1.528 2.345
5 0.015 0.24 0.089 0.465
6 0.008 0.121 0.355 0.644
6 0.001 0.041 0.125 0.446
7 0.022 0.08 0.054 0.277
3 0.001 0.011 0.156 0.535
9 0.097 0.044 0.847 1.309
7 0 0.026 1.93 2.705
5 0.096 0.006 0.184 0.481
10 0.099 0.102 0.095 0.747
2 0 0.083 0.629 0.931
9 0 0.021 0.01 0.489
2 0.015 0.008 0.012 0.378
4 0 0.03 0.368 0.6
5 0 0.3 0.074 0.604
4 0.09 0.003 0.055 0.295
7 0.002 0.033 0.123 0.363
8 0 0.175 0.034 0.54
1 0 0.006 0.205 0.367
2 0.007 0.071 0.159 0.413
4 0.004 0.017 0.124 0.344
4 0 0.025 0.065 0.319
4 0 0.001 0.051 0.408
5 0 0.017 0.097 0.313
4 0.005 0.01 0.081 0.302
